station_id,station_name,utm_north,utm_east,year,TOC_mgpl,NO3_NO2_ugpl
26934,HOH 376,7681329.737488865,873225.1260152487,1995,4.3,4.0
26934,HOH 376,7681329.737488865,873225.1260152487,2019,3.9,2.0
26935,Rebmesluobbalat,7644987.828574413,822282.95741292,1995,4.3,1.0
26935,Rebmesluobbalat,7644987.828574413,822282.95741292,2019,5.1,2.0
26936,Saiva,7722128.6285574855,826334.0370513622,1995,4.8,1.0
26936,Saiva,7722128.6285574855,826334.0370513622,2019,4.7,1.0
26937,Mollejusgåbejavri,7718632.822099094,787887.4615510334,1995,1.2,1.0
26937,Mollejusgåbejavri,7718632.822099094,787887.4615510334,2019,1.1,1.0
26938,Jårgajavri,7698049.222161542,811301.4664535901,1995,3.6,1.0
26938,Jårgajavri,7698049.222161542,811301.4664535901,2019,2.5,4.0
26939,HOH 542,7779575.998674979,783615.9980091281,1995,0.48,1.0
26939,HOH 542,7779575.998674979,783615.9980091281,2019,0.58,3.0
26940,HOH 745,7780983.044633687,790051.98382499,1995,0.37,1.0
26940,HOH 745,7780983.044633687,790051.98382499,2019,0.57,1.0
26941,Tørrelvvatna,7763549.339283911,793675.7019272523,1995,0.4,4.0
26941,Tørrelvvatna,7763549.339283911,793675.7019272523,2019,0.39,4.0
26942,HOH 230,7772528.178985685,823178.230114188,1995,9.0,1.0
26942,HOH 230,7772528.178985685,823178.230114188,2019,9.1,2.0
26943,HOH 459,7783312.763812425,843245.1400009412,1995,5.1,1.0
26943,HOH 459,7783312.763812425,843245.1400009412,2019,6.4,2.0
26944,HOH 392,7788096.998410871,798305.9965758845,1995,3.6,1.0
26944,HOH 392,7788096.998410871,798305.9965758845,2019,3.4,2.0
26945,HOH 359,7771643.893055463,836020.0522628855,1995,3.0,4.0
26945,HOH 359,7771643.893055463,836020.0522628855,2019,4.0,3.0
26946,HOH 479,7771287.791651015,849671.332388153,1995,2.6,1.0
26946,HOH 479,7771287.791651015,849671.332388153,2019,3.6,2.0
26947,Ninnasjuhanajavri,7762783.694516298,843360.3761337078,1995,2.4,1.0
26947,Ninnasjuhanajavri,7762783.694516298,843360.3761337078,2019,2.2,1.0
26948,Øvre Sørelvvatnet,7790828.045668434,835251.3306739309,1995,1.9,1.0
26948,Øvre Sørelvvatnet,7790828.045668434,835251.3306739309,2019,2.7,2.0
26949,HOH 665,7791762.910940946,775237.8356945392,1995,0.2,17.0
26949,HOH 665,7791762.910940946,775237.8356945392,2019,0.18,14.0
26950,Ternevatnet,7794096.7540879175,779668.5961415304,1995,0.5,4.0
26950,Ternevatnet,7794096.7540879175,779668.5961415304,2019,0.65,1.0
26951,Langkeilvatn,7858017.49256697,778129.9112769162,1995,1.6,1.0
26951,Langkeilvatn,7858017.49256697,778129.9112769162,2019,1.4,1.0
26952,HOH 610,7835018.862538199,840138.8880698981,1995,0.31,1.0
26952,HOH 610,7835018.862538199,840138.8880698981,2019,0.35,1.0
26953,HOH 243,7861663.081185928,844437.4275077952,1995,0.54,17.0
26953,HOH 243,7861663.081185928,844437.4275077952,2019,0.72,5.0
26954,Gukkesluobbal,7818826.638228029,829910.5033605846,1995,2.0,1.0
26954,Gukkesluobbal,7818826.638228029,829910.5033605846,2019,2.1,1.0
26955,HOH 165,7895581.963204179,850862.5660585565,1995,0.74,8.0
26955,HOH 165,7895581.963204179,850862.5660585565,2019,0.83,3.0
26956,HOH 370,7871748.440852739,860904.8671502713,1995,0.38,4.0
26956,HOH 370,7871748.440852739,860904.8671502713,2019,0.54,1.0
26957,HOH 340,7886598.729630943,871217.4488538943,1995,0.34,4.0
26957,HOH 340,7886598.729630943,871217.4488538943,2019,0.72,1.0
26958,HOH 128,7892254.845613067,864424.6259926866,1995,0.76,1.0
26958,HOH 128,7892254.845613067,864424.6259926866,2019,0.91,1.0
26959,Lamvatnet,7883155.38437,845974.0219487586,1995,0.58,34.0
26959,Lamvatnet,7883155.38437,845974.0219487586,2019,0.72,5.0
26960,Jiegnajavrit,7898711.222524006,879706.4480618129,1995,0.29,61.0
26960,Jiegnajavrit,7898711.222524006,879706.4480618129,2019,0.52,10.0
26961,Måkkejavri,7880484.83814098,871242.3323399266,1995,0.49,8.0
26961,Måkkejavri,7880484.83814098,871242.3323399266,2019,0.68,1.0
26962,HOH 582,7808374.366814427,899536.2233236835,1995,0.4,13.0
26962,HOH 582,7808374.366814427,899536.2233236835,2019,0.53,2.0
26963,Ucca Lakcajavrit,7845580.488968003,898195.5210609019,1995,4.7,1.0
26963,Ucca Lakcajavrit,7845580.488968003,898195.5210609019,2019,5.1,1.0
26964,Rambijærvi,7839592.010849027,893837.5487985238,1995,3.2,9.0
26964,Rambijærvi,7839592.010849027,893837.5487985238,2019,3.8,23.0
26965,HOH 316,7780714.550865208,904178.5093780004,1995,10.7,1.0
26965,HOH 316,7780714.550865208,904178.5093780004,2019,10.9,1.0
26966,Båldnejavri,7778745.188403938,862909.0436600954,1995,2.1,1.0
26966,Båldnejavri,7778745.188403938,862909.0436600954,2019,2.4,1.0
26967,Coalbmejavri,7795734.705460142,879878.2459601697,1995,2.5,25.0
26967,Coalbmejavri,7795734.705460142,879878.2459601697,2019,3.0,14.0
26968,Luomujavrit,7867276.513152205,870161.1116341706,1995,0.36,4.0
26968,Luomujavrit,7867276.513152205,870161.1116341706,2019,0.43,1.0
26969,Ravdujavri,7839800.396153648,905222.572808314,1995,2.5,1.0
26969,Ravdujavri,7839800.396153648,905222.572808314,2019,2.4,1.0
26970,Læktujavri,7813842.387907668,852378.1800007394,1995,2.4,1.0
26970,Læktujavri,7813842.387907668,852378.1800007394,2019,2.7,1.0
26972,Hannoailaddut Nord,7702370.991399299,895336.968049364,1995,9.8,1.0
26972,Hannoailaddut Nord,7702370.991399299,895336.968049364,2019,9.6,3.0
26973,HOH 310,7728857.55564751,863359.3840786866,1995,9.0,1.0
26973,HOH 310,7728857.55564751,863359.3840786866,2019,9.6,3.0
26974,HOH 415,7762672.803448453,856920.2597718565,1995,7.0,1.0
26974,HOH 415,7762672.803448453,856920.2597718565,2019,7.2,1.0
26975,HOH 382,7737865.184614612,881092.0289382727,1995,4.8,1.0
26975,HOH 382,7737865.184614612,881092.0289382727,2019,5.5,1.0
26976,HOH 361,7775508.97678875,918958.5271585674,1995,3.7,1.0
26976,HOH 361,7775508.97678875,918958.5271585674,2019,4.9,2.0
26977,Iddjavarjavri,7757899.290911494,894097.3848982606,1995,5.0,8.0
26977,Iddjavarjavri,7757899.290911494,894097.3848982606,2019,7.5,1.0
26978,Dåggejåkjavrit,7752989.709615057,877348.8631121841,1995,4.2,1.0
26978,Dåggejåkjavrit,7752989.709615057,877348.8631121841,2019,4.8,2.0
26979,Nieidaidjavrit,7752967.7448077435,896430.984444231,1995,4.8,1.0
26979,Nieidaidjavrit,7752967.7448077435,896430.984444231,2019,3.2,2.0
26982,Liinajavri,7853334.099164019,924292.893718954,1995,1.1,1.0
26982,Liinajavri,7853334.099164019,924292.893718954,2019,1.1,1.0
26983,HOH 417,7861877.511075536,912873.1560373899,1995,1.3,1.0
26983,HOH 417,7861877.511075536,912873.1560373899,2019,0.89,7.0
26984,HOH 425,7860357.998160021,921740.820723251,1995,1.2,1.0
26984,HOH 425,7860357.998160021,921740.820723251,2019,1.2,1.0
26985,HOH 210,7926750.791923481,955989.6729184713,1995,0.58,1.0
26985,HOH 210,7926750.791923481,955989.6729184713,2019,0.68,1.0
26986,HOH 223,7840483.500537584,941446.8034733932,1995,2.3,2.0
26986,HOH 223,7840483.500537584,941446.8034733932,2019,2.1,1.0
26987,HOH 306,7931258.031381692,951358.8300762819,1995,0.61,2.0
26987,HOH 306,7931258.031381692,951358.8300762819,2019,0.68,1.0
26988,Nerdalsvatnet,7876723.656662615,956579.0988733321,1995,1.7,4.0
26988,Nerdalsvatnet,7876723.656662615,956579.0988733321,2019,1.8,6.0
26989,Holmevatnet,7935722.350277006,975701.8133285043,1995,2.3,4.0
26989,Holmevatnet,7935722.350277006,975701.8133285043,2019,2.4,1.0
26990,HOH 257,7916140.328449732,965199.2613292211,1995,1.0,3.0
26990,HOH 257,7916140.328449732,965199.2613292211,2019,1.2,2.0
26991,Middagsvatna,7931449.301492738,971395.3616506073,1995,1.1,4.0
26991,Middagsvatna,7931449.301492738,971395.3616506073,2019,1.3,11.0
26992,Gistuladdut,7853485.249111654,972724.8112128703,1995,1.9,2.0
26992,Gistuladdut,7853485.249111654,972724.8112128703,2019,1.5,1.0
26993,HOH 368,7860962.648931673,974555.9470677723,1995,0.96,17.0
26993,HOH 368,7860962.648931673,974555.9470677723,2019,1.4,1.0
26994,HOH 185,7869444.743762033,996583.3248803586,1995,2.1,3.0
26994,HOH 185,7869444.743762033,996583.3248803586,2019,1.9,1.0
26995,Hannujavrit,7852305.485725771,982184.9141389618,1995,7.2,2.0
26995,Hannujavrit,7852305.485725771,982184.9141389618,2019,5.5,2.0
26996,HOH 299,7810917.654776614,957859.8070079305,1995,0.83,3.0
26996,HOH 299,7810917.654776614,957859.8070079305,2019,1.3,1.0
26997,Sammutjavri,7808705.785259677,950181.5115422173,1995,2.5,2.0
26997,Sammutjavri,7808705.785259677,950181.5115422173,2019,2.7,3.0
26998,Nissujavri,7860628.857608279,976738.7703883975,1995,0.97,10.0
26998,Nissujavri,7860628.857608279,976738.7703883975,2019,1.1,3.0
26999,HOH 329,7825416.734346743,1034938.2962596649,1995,1.7,1.0
26999,HOH 329,7825416.734346743,1034938.2962596649,2019,1.7,1.0
27000,Suolojavri,7830997.106021092,1006791.5411794015,1995,2.4,1.0
27000,Suolojavri,7830997.106021092,1006791.5411794015,2019,2.7,2.0
27001,HOH 272,7819544.561743963,1019865.2010157767,1995,2.1,1.0
27001,HOH 272,7819544.561743963,1019865.2010157767,2019,2.3,1.0
27003,Cuoggujavri,7838583.757285403,1001587.1768850316,1995,2.9,1.0
27003,Cuoggujavri,7838583.757285403,1001587.1768850316,2019,2.8,2.0
27004,Prestelvvatnet,7905067.214329423,1045408.3895322314,1995,0.47,5.0
27004,Prestelvvatnet,7905067.214329423,1045408.3895322314,2019,0.6,1.0
27005,HOH 126,7808928.610344269,1055753.9552664652,1995,2.3,1.0
27005,HOH 126,7808928.610344269,1055753.9552664652,2019,2.9,1.0
27006,HOH 328,7819642.272691138,1035616.5397032169,1995,1.3,1.0
