dataset,station_code,min_,mean_,max_,std_,count_
fab_ex_ns_1216_meqpm2pyr_50m,GAU,0.0,0.0,0.0,0.0,2341
fab_ex_ns_1216_meqpm2pyr_50m,HAA,0.0,0.0,0.0,0.0,1438
fab_ex_s_1216_meqpm2pyr_50m,EIR,0.0,0.0,0.0,0.0,28803
fab_ex_s_1216_meqpm2pyr_50m,GAU,0.0,0.0,0.0,0.0,2341
fab_ex_s_1216_meqpm2pyr_50m,HAA,0.0,0.0,0.0,0.0,1438
ndep_1721_meqpm2pyr_50m,EIR,23.411848068237305,24.312044318300178,29.19343376159668,1.180144920777596,28803
ndep_1721_meqpm2pyr_50m,GAU,25.33904266357422,27.88613306279368,29.19343376159668,1.824776897712962,2341
ndep_1721_meqpm2pyr_50m,HAA,25.33904266357422,25.33903968184979,25.33904266357422,2.981724428252619e-06,1438
sdep_2030bc_meqpm2pyr_50m,EIR,8.107518196105957,8.759719039683366,11.096051216125488,0.7500194016076798,28803
sdep_2030bc_meqpm2pyr_50m,GAU,10.189152717590332,10.815521879004699,11.149147033691406,0.42911272568233005,2341
sdep_2030bc_meqpm2pyr_50m,HAA,10.18813705444336,10.207395253824757,10.225309371948242,0.008868794431696202,1438
sdep_1216_meqpm2pyr_50m,EIR,9.170305252075195,9.76085498906364,12.164690971374512,0.7636797560384849,28803
sdep_1216_meqpm2pyr_50m,GAU,11.166563034057617,11.826154354442545,12.164690971374512,0.47254177239864575,2341
sdep_1216_meqpm2pyr_50m,HAA,11.166563034057617,11.166564347183588,11.166563034057617,1.313125970625606e-06,1438
ndep_2050bc_meqpm2pyr_50m,EIR,23.956663131713867,24.404831961948407,28.89457893371582,0.4736705312571807,28803
ndep_2050bc_meqpm2pyr_50m,GAU,24.283632278442383,27.174791755659975,28.74174690246582,1.9351555994812701,2341
ndep_2050bc_meqpm2pyr_50m,HAA,23.69378662109375,23.893140429415855,24.14788818359375,0.10407818278738556,1438
sdep_2050bc_meqpm2pyr_50m,EIR,7.992333889007568,8.653304885775787,10.979432106018066,0.7492859947202737,28803
sdep_2050bc_meqpm2pyr_50m,GAU,10.082770347595215,10.704583377829987,11.037283897399902,0.4243114535985989,2341
sdep_2050bc_meqpm2pyr_50m,HAA,10.066814422607422,10.081750776903686,10.104353904724121,0.00890276288026318,1438
ndep_1216_meqpm2pyr_50m,EIR,35.68879318237305,36.09407874179773,42.326908111572266,0.6857489009090967,28803
ndep_1216_meqpm2pyr_50m,GAU,36.47394561767578,40.34174765057668,42.326908111572266,2.770956675238728,2341
ndep_1216_meqpm2pyr_50m,HAA,36.47394561767578,36.47394384561891,36.47394561767578,1.772056869242533e-06,1438
sdep_1721_meqpm2pyr_50m,EIR,8.546475410461426,8.775619076137902,9.794136047363281,0.4238087894867701,28803
sdep_1721_meqpm2pyr_50m,GAU,8.671241760253906,9.413283252349423,9.794136047363281,0.531609663259935,2341
sdep_1721_meqpm2pyr_50m,HAA,8.671241760253906,8.671242067976356,8.671241760253906,3.0772245018795275e-07,1438
ndep_2030bc_meqpm2pyr_50m,EIR,26.682559967041016,27.09553258341145,31.880033493041992,0.502951574185348,28803
ndep_2030bc_meqpm2pyr_50m,GAU,27.130168914794922,30.182994713797523,31.8115177154541,2.11327480400442,2341
ndep_2030bc_meqpm2pyr_50m,HAA,26.776945114135742,26.891928894297635,27.03668785095215,0.058122496827190596,1438
clmins_meqpm2pyr_50m,EIR,0.0,0.0,0.0,0.0,28803
clmins_meqpm2pyr_50m,GAU,0.0,0.0,0.0,0.0,2341
clmins_meqpm2pyr_50m,HAA,0.0,0.0,0.0,0.0,1438
claoaa_meqpm2pyr_50m,EIR,45.08341598510742,45.08341145019616,45.08341598510742,4.534911262510378e-06,28803
claoaa_meqpm2pyr_50m,GAU,101.60368347167969,101.60368832763776,101.60368347167969,4.855958067651045e-06,2341
claoaa_meqpm2pyr_50m,HAA,107.93599700927734,107.9359896557719,107.93599700927734,7.353505438345565e-06,1438
clmaxnoaa_meqpm2pyr_50m,EIR,58.86008834838867,58.860088358851506,58.86008834838867,1.0462834154623124e-08,28803
clmaxnoaa_meqpm2pyr_50m,GAU,115.85337829589844,115.8533746262281,115.85337829589844,3.669670334716102e-06,2341
clmaxnoaa_meqpm2pyr_50m,HAA,124.72412109375,124.72411769819193,124.72412109375,3.3955580676092723e-06,1438
clminn_meqpm2pyr_50m,EIR,1.1973505020141602,1.197350455030726,1.1973505020141602,4.698343425424411e-08,28803
clminn_meqpm2pyr_50m,GAU,3.305568218231201,3.3055685337462624,3.305568218231201,3.1551506118887573e-07,2341
clminn_meqpm2pyr_50m,HAA,3.5689358711242676,3.5689359407597356,3.5689358711242676,6.963546805849319e-08,1438
clmaxsoaa_meqpm2pyr_50m,EIR,45.99526596069336,45.995265250147554,45.99526596069336,7.105458053047187e-07,28803
clmaxsoaa_meqpm2pyr_50m,GAU,101.61294555664062,101.61293918197352,101.61294555664062,6.374667108843824e-06,2341
clmaxsoaa_meqpm2pyr_50m,HAA,107.93988800048828,107.939890472879,107.93988800048828,2.472390718821771e-06,1438
eno3_meqpm2pyr_50m,EIR,7.060427188873291,7.060426648265806,7.060427188873291,5.406074850000663e-07,28803
eno3_meqpm2pyr_50m,GAU,33.42778778076172,33.42779194254592,33.42778778076172,4.161784204370633e-06,2341
eno3_meqpm2pyr_50m,HAA,32.75494384765625,32.7549439325452,32.75494384765625,8.488895275604591e-08,1438
