arveget,n_dep_poly_tonnespyr,area_km2
51,5291.230974703284,22332.021851902537
52,9423.939585261944,34331.214006329494
53,775.6339206568539,3732.9697061094184
54,10680.93687162654,37103.820493879764
55,12272.065740169039,36580.80150362126
98,83870.96566917417,184504.59814473582
99,860.8470327700543,2569.3175867134064
