artype,n_dep_poly_tonnespyr,area_km2
10,1347.5240631142944,1772.6021254277728
20,7829.672193412148,12290.029020724674
30,57471.04818241877,124226.92593849679
50,39304.65412518822,136650.14514855624
60,7344.90146241501,21648.396497389804
70,798.3174907908034,2830.0774261615934
81,7406.51667496025,18391.762636086387
82,1672.8322492474333,3344.1936823099004
99,0.15335281281155394,0.6108181382435309
