artreslag,n_dep_poly_tonnespyr,area_km2
31,40235.902569638754,73129.90405582161
32,10997.236923060525,29855.88298373217
33,3553.017365963031,7289.486175315272
39,43850.03727566241,151808.39602875733
98,19055.01602423402,38629.27570843509
99,5484.409635610169,20441.79834039113
