artype,artreslag,area_km2
10,98,1945.8695193176293
20,98,12922.913218028325
30,31,69451.28213639345
30,32,29402.925489908634
30,33,6956.389169445012
30,99,20760.912333667966
50,39,139061.36665648123
60,31,4658.936227605447
60,32,1389.910349912789
60,33,468.46113033829647
60,39,15285.089249359138
70,98,2830.135828431361
81,98,18487.643019975556
82,98,145147.8310957841
99,98,3.8427998998025243
