cell_id,NO3_NO2_ugpl_orig,TOC_mgpl_orig,NO3_NO2_ugpl_1990,NO3_NO2_ugpl_1991,NO3_NO2_ugpl_1992,NO3_NO2_ugpl_1993,NO3_NO2_ugpl_1994,NO3_NO2_ugpl_1995,NO3_NO2_ugpl_1996,NO3_NO2_ugpl_1997,NO3_NO2_ugpl_1998,NO3_NO2_ugpl_1999,NO3_NO2_ugpl_2000,NO3_NO2_ugpl_2001,NO3_NO2_ugpl_2002,NO3_NO2_ugpl_2003,NO3_NO2_ugpl_2004,NO3_NO2_ugpl_2005,NO3_NO2_ugpl_2006,NO3_NO2_ugpl_2007,NO3_NO2_ugpl_2008,NO3_NO2_ugpl_2009,NO3_NO2_ugpl_2010,NO3_NO2_ugpl_2011,NO3_NO2_ugpl_2012,NO3_NO2_ugpl_2013,NO3_NO2_ugpl_2014,NO3_NO2_ugpl_2015,NO3_NO2_ugpl_2016,NO3_NO2_ugpl_2017,NO3_NO2_ugpl_2018,TOC_mgpl_2019,NO3_NO2_ugpl_2019,NO3_NO2_ugpl_2020,NO3_NO2_ugpl_2021,runoff_mmpyr,Bare_area_km2,Forest_area_km2,Lake_area_km2,Other_area_km2,Peat_area_km2,Total_area_km2
58005004,,,393.8356119791667,395.9640299479167,393.67431640625,388.7378336588542,383.5318196614583,380.2003580729167,379.0230712890625,374.6116943359375,367.2367757161458,358.49951171875,346.6816813151042,331.2559407552083,312.46608479817706,292.1912027994792,272.1582845052083,253.6478271484375,238.6719970703125,228.8544921875,223.09920247395834,220.2654012044271,219.48360188802084,219.1822509765625,218.90743001302084,218.24825032552084,216.4346923828125,213.4752197265625,210.1087646484375,206.90665690104166,204.1109619140625,1.607653299967448,201.03531901041666,197.93929036458334,196.05045572916666,1538.9564236111112,0.0,7.948615266093347,3.5313501613843674,41.6281829271189,0.6296540295633949,53.73780238416001
58006001,365.0,0.4,492.14991987179485,494.8096955128205,491.94839743589745,485.7796073717949,479.27403846153845,475.1108974358974,473.6396634615385,468.1271634615385,458.91117788461537,447.9927483974359,433.22483974358977,413.94839743589745,390.46790865384617,365.1317307692308,340.0979567307692,316.96666666666664,298.2523838141026,285.98411458333334,278.7921073717949,275.2508814102564,274.2739583333333,273.8973557692308,273.5539262820513,272.73020833333334,270.4639423076923,266.76566506410256,262.5588141025641,258.5573717948718,255.06378205128206,1.7051347781450321,251.22035256410257,247.3514423076923,244.99114583333332,1815.0660256410256,0.0,39.423553032152185,31.021261580340767,120.01851618519946,2.3023348538357253,192.76566565152814
58006002,215.0,0.8,230.41650152439024,231.6617568597561,230.32214176829268,227.43403201219513,224.3882050304878,222.4391006097561,221.75032393292682,219.16943597560976,214.8546493902439,209.7428544207317,202.8287538109756,193.80381097560976,182.81067073170732,170.94866615853658,159.2282774390244,148.3985899390244,139.6368711890244,133.89306402439024,130.52587652439024,128.86794016768292,128.41055640243903,128.23424161585365,128.07345655487805,127.68779535060976,126.62677210365854,124.89530297256097,122.92572408536586,121.05231516768292,119.41667301829268,2.372879549352134,117.61724466463414,115.80586890243903,114.7008193597561,2048.17256097561,0.0,76.18929054330161,24.36717737714138,97.21062281344662,5.5455386485695755,203.3126293824592
58006003,200.0,0.6,196.95046951970443,198.0148552955665,196.86980449507388,194.4011699507389,191.7977409174877,190.13171567118226,189.54296875,187.33693811576356,183.64886083743843,179.27947967980296,173.36961206896552,165.6554802955665,156.25896705665025,146.11983335899015,136.10173568349754,126.84496228448276,119.35579587438424,114.4462361453202,111.5680995997537,110.15097752463055,109.7600254002463,109.60930765086206,109.47187692426108,109.14224137931035,108.23531788793103,106.75533020320196,105.0718038023399,103.4705010775862,102.0724195658867,3.9200400366571735,100.53434806034483,98.98605872844827,98.04150631157636,2013.3506773399015,0.0,124.78940679496948,36.49770968072242,38.5014170531543,3.5240847657805694,203.31261829462676
58006004,300.0,0.8,144.1922296262255,144.97148820465685,144.13317631740196,142.3258176317402,140.4197878370098,139.2000612745098,138.76901424632354,137.15392348345588,134.45379518995097,131.2548636642157,126.92809819240196,121.28038832720588,114.40098422181373,106.97788373161765,99.64338235294117,92.8662779564951,87.38329120710785,83.78887101715686,81.68171721813725,80.64420572916667,80.3579771752451,80.24763997395833,80.14701573988971,79.90568512561275,79.24169921875,78.15816482843137,76.92561848958333,75.75326478247548,74.72969324448529,5.66047638537837,73.60363051470588,72.47009995404412,71.77856924019608,1821.0827205882354,0.0,161.6227461799173,12.593858051564203,16.768307242322802,12.327717901333171,203.31262937513748
58006005,500.0,0.6,339.3840725806452,341.2182144657258,339.24508568548384,334.9911164314516,330.5048828125,327.6340725806452,326.61951864919354,322.8180758568548,316.4627646169355,308.9334992439516,298.74962197580646,285.45665322580646,269.26467993951616,251.79296875,234.52981665826613,218.57859753024192,205.67332409274192,197.21317414314515,192.25360698084677,189.81161794354838,189.1379158266129,188.87821320564515,188.6413810483871,188.07335244455646,186.51055317540323,183.96024445564515,181.0592237903226,178.29983618951613,175.89068800403226,1.8492953392767137,173.24026587701613,170.57228137600808,168.94461945564515,1615.1615423387098,0.0,6.566974711337483,0.9493125470138617,21.37548217726663,0.6169928956396101,29.508762331257582
58006006,525.0,0.6,287.02945601851854,288.5806712962963,286.91192129629627,283.3141782407407,279.52002314814814,277.0920138888889,276.2339699074074,273.0189814814815,267.64409722222223,261.27633101851853,252.66342592592594,241.42109375,227.7269386574074,212.95046296296297,198.35040509259258,184.85986689814814,173.94539930555555,166.79036458333334,162.59586226851852,160.53058449074075,159.96082175925926,159.7411747685185,159.54087094907408,159.06047453703704,157.73874421296296,155.5818576388889,153.1283564814815,150.79464699074074,148.75714699074075,2.550168185763889,146.51559606481482,144.2591869212963,142.8826244212963,2075.2075559701493,0.0,38.16281740761376,9.49725432825076,87.72671941278918,0.7152476562394644,136.10203880489314
58006007,265.0,2.4,207.4298624067164,208.55087842039802,207.3449160447761,204.7449471393035,202.0029734141791,200.24832866915423,199.62822605721394,197.30480410447763,193.42051461442787,188.81864116915423,182.59429415422886,174.4697217039801,164.5732276119403,153.89462842039802,143.34347792288557,133.59417754975124,125.70652596393035,120.53572955534825,117.50446012126865,116.01191309079601,115.60016324626865,115.4414354011194,115.29669037624379,114.94951026119404,113.99433496579601,112.43559546019901,110.66249805659204,108.97598919465175,107.50351756840796,3.815422703377643,105.88360929726367,104.2529442630597,103.25812344527363,2028.3625621890546,0.0,132.6585137210284,25.176276274682603,36.426948011803255,2.0396713054207685,196.30140931293505
58006008,100.0,2.5,184.06297110552765,185.05771042713567,183.98759422110552,181.6804726758794,179.247408919598,177.69040515075378,177.14017352386935,175.07849795854273,171.63175251256283,167.54828831658293,162.0251158134422,154.815768294598,146.0341158919598,136.55844652952263,127.19588175251256,118.54483354271356,111.54572668027639,106.9574238379397,104.26761738379398,102.94321215452261,102.57785018844221,102.43699945037689,102.30855449120602,102.00049073492463,101.15290318781408,99.76975698806532,98.19641174623115,96.69988614949749,95.39328478329146,5.265418891331659,93.9558534861809,92.50889211683418,91.62613850502512,1737.198547979798,0.0,152.78393159519834,16.256131365915536,22.076057444823864,9.120268042396468,200.23638844833422
58006010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.06573124009323371,0.0,0.06573124009323371
