dataset,station_code,min,mean,max,std,count
fab_ex_ns_1216_meqpm2pyr_50m,Sam_Frok,14.79175853729248,23.477646968297936,32.908531188964844,5.452649036236011,48735
fab_ex_s_1216_meqpm2pyr_50m,Sam_Tyss,0.0,6.909481139561951,15.595757484436035,6.105342231803916,94510
fab_ex_s_1216_meqpm2pyr_50m,Sam_Tyss_IntCat,13.72426700592041,14.91108672752809,15.595757484436035,0.8993347479266518,2670
fab_ex_s_1216_meqpm2pyr_50m,Sam_Stor,0.0,0.0,0.0,0.0,4457
fab_ex_s_1216_meqpm2pyr_50m,Sam_Froe,0.0,0.5868350238045953,4.6012773513793945,1.1229917538694176,38648
fab_ex_s_1216_meqpm2pyr_50m,Sam_Frok,8.099745750427246,12.117010362162716,14.847161293029785,2.132619670561777,48735
sdep_2030_meqpm2pyr_50m,Sam_Tyss,4.8658766746521,7.057395381441117,7.423580646514893,0.7884613434097392,94510
sdep_2030_meqpm2pyr_50m,Sam_Tyss_IntCat,7.423580646514893,7.423580875468165,7.423580646514893,2.2895327234095933e-07,2670
sdep_2030_meqpm2pyr_50m,Sam_Stor,7.423580646514893,7.423581409860893,7.423580646514893,7.633460006317705e-07,4457
sdep_2030_meqpm2pyr_50m,Sam_Froe,7.423580646514893,7.423581103808735,7.423580646514893,4.572938427926943e-07,38648
sdep_2030_meqpm2pyr_50m,Sam_Frok,4.8658766746521,6.713451574843542,7.423580646514893,0.9804790669088473,48735
sdep_2030bc_meqpm2pyr_50m,Sam_Tyss,5.392755031585693,6.721982462173315,7.830780982971191,0.5854890791500903,94510
sdep_2030bc_meqpm2pyr_50m,Sam_Tyss_IntCat,6.891087532043457,7.487001111891386,7.830780982971191,0.4515646659814524,2670
sdep_2030bc_meqpm2pyr_50m,Sam_Stor,6.891087532043457,7.352648397184205,7.830780982971191,0.21860327174710215,4457
sdep_2030bc_meqpm2pyr_50m,Sam_Froe,6.577856063842773,6.964300384237218,7.830780982971191,0.2718994572144579,38648
sdep_2030bc_meqpm2pyr_50m,Sam_Frok,5.392755031585693,6.430227249410075,7.454903602600098,0.6248844862723892,48735
