dataset,station_code,min,mean,max,std,count
fab_ex_n_2030bc_meqpm2pyr_50m,Sam_Tyss,0.0,0.0,0.0,0.0,94510
sswc_ex_2030bc_meqpm2pyr_50m,Sam_Tyss,-16.555030822753906,-15.521968574753995,-14.646186828613281,0.430976463126409,94510
fab_ex_s_2030bc_meqpm2pyr_50m,Sam_Tyss,0.0,0.0,0.0,0.0,94510
fab_ex_reg_id_1216_50m,Sam_Tyss,0.0,2.4498677388636123,3.0,1.1609269049626374,94510
fab_ex_ns_2030bc_meqpm2pyr_50m,Sam_Tyss,0.0,0.0,0.0,0.0,94510
fab_ex_reg_id_2030bc_50m,Sam_Tyss,0.0,0.0,0.0,0.0,94510
sswc_ex_1216_meqpm2pyr_50m,Sam_Tyss,-10.191177368164062,-7.613823272669559,-5.450069427490234,1.085547048406908,94510
fab_ex_n_1216_meqpm2pyr_50m,Sam_Tyss,0.0,3.260578576341128,7.652488708496094,2.024676859813384,94510
fab_ex_ns_1216_meqpm2pyr_50m,Sam_Tyss,0.0,7.104250211617818,16.673480987548828,4.411429506890173,94510
fab_ex_s_1216_meqpm2pyr_50m,Sam_Tyss,0.0,3.8436713046238493,9.020992279052734,2.3867526470769382,94510
sdep_2030_meqpm2pyr_50m,Sam_Tyss,4.8658766746521,7.057395381441117,7.423580646514893,0.7884613434097392,94510
sdep_2030bc_meqpm2pyr_50m,Sam_Tyss,4.490795135498047,5.523858586392974,6.3996381759643555,0.4309762969255857,94510
sdep_2010_meqpm2pyr_50m,Sam_Tyss,11.166563034057617,17.18109591577611,18.091079711914062,2.0508122527253922,94510
sdep_1216_meqpm2pyr_50m,Sam_Tyss,10.854647636413574,13.432003227171728,15.595757484436035,1.0855479378681736,94510
ndep_2030_meqpm2pyr_50m,Sam_Tyss,14.13276195526123,21.98893371071844,23.197715759277344,2.7463545568076797,94510
ndep_1216_meqpm2pyr_50m,Sam_Tyss,44.32548141479492,53.45412125700984,61.812992095947266,4.275465173871077,94510
ndep_2010_meqpm2pyr_50m,Sam_Tyss,18.058528900146484,29.691963813353084,31.477516174316406,4.028327740052641,94510
ndep_2030bc_meqpm2pyr_50m,Sam_Tyss,33.77082443237305,39.6296608824463,45.55379104614258,2.753745982988778,94510
clmins_meqpm2pyr_50m,Sam_Tyss,0.0,0.0,0.0,0.0,94510
claoaa_meqpm2pyr_50m,Sam_Tyss,49.4620246887207,49.46203576341128,49.4620246887207,1.1074690576151626e-05,94510
clmaxnoaa_meqpm2pyr_50m,Sam_Tyss,61.911041259765625,61.911030578774735,61.911041259765625,1.0680990889966322e-05,94510
clminn_meqpm2pyr_50m,Sam_Tyss,3.1628594398498535,3.1628594196381337,3.1628594398498535,2.0211719853335804e-08,94510
clmaxsoaa_meqpm2pyr_50m,Sam_Tyss,49.835960388183594,49.83595915776108,49.835960388183594,1.2304225123216386e-06,94510
eno3_meqpm2pyr_50m,Sam_Tyss,28.41619873046875,28.416199343984765,28.41619873046875,6.135160148801333e-07,94510
