dataset,station_code,min,mean,max,std,count
fab_ex_n_2030bc_meqpm2pyr_50m,Eks_Opp,0.0,0.0,0.0,0.0,77592
fab_ex_n_2030bc_meqpm2pyr_50m,Eks_Side,7.251056671142578,12.721462736151137,18.316192626953125,2.1335777504415727,15615
fab_ex_n_2030bc_meqpm2pyr_50m,Gud_Opp,0.0,2.8477007724700445,6.281547546386719,1.9086106449564215,37639
fab_ex_n_2030bc_meqpm2pyr_50m,Mod_Alm,30.32237434387207,32.57210662211422,33.360992431640625,1.3322083126893527,4938
fab_ex_n_2030bc_meqpm2pyr_50m,Mod_Bud,17.94660186767578,20.864913681806144,20.985218048095703,0.592527208519904,7552
fab_ex_n_2030bc_meqpm2pyr_50m,Mod_Koll,23.37952423095703,27.366414521723257,27.39278793334961,0.32426956454617756,2739
fab_ex_n_2030bc_meqpm2pyr_50m,Mod_Opp,1.907989501953125,3.2013459671671867,10.013643264770508,1.762495947430984,122073
fab_ex_n_2030bc_meqpm2pyr_50m,Mod_Skar,14.507904052734375,15.812013975293281,15.826545715332031,0.13766275946217724,2813
fab_ex_n_2030bc_meqpm2pyr_50m,Mod_Sol,23.48172378540039,23.516080499116608,26.520339965820312,0.321283376121051,5660
fab_ex_n_2030bc_meqpm2pyr_50m,Mod_Tod,20.54266357421875,23.642609996949826,23.75326919555664,0.5856958602645735,6557
fab_ex_n_2030bc_meqpm2pyr_50m,Sam_Fisk,0.13147735595703125,2.3458730891556376,5.013721466064453,1.4865020752852738,48735
fab_ex_n_2030bc_meqpm2pyr_50m,Sam_Froe,0.0,0.0,0.0,0.0,38648
fab_ex_n_2030bc_meqpm2pyr_50m,Sam_Stor,0.0,0.0,0.0,0.0,4457
fab_ex_n_2030bc_meqpm2pyr_50m,Ynd_6A_rest,42.94267272949219,44.533072157434404,46.03667068481445,0.9545802924116039,9947
fab_ex_n_2030bc_meqpm2pyr_50m,Ynd_6B1-4,42.763065338134766,43.41223630273945,45.85706329345703,0.8078929465392248,5001
fab_ex_n_2030bc_meqpm2pyr_50m,Ynd_6B5_6B7,50.1332893371582,51.61841786515708,53.22728729248047,0.3939331146695512,2451
fab_ex_n_2030bc_meqpm2pyr_50m,Ynd_6BA-C_6B6_6B8,36.32726287841797,44.475744257173034,45.516815185546875,0.7512950009579583,5681
fab_ex_n_2030bc_meqpm2pyr_50m,Ynd_6C_6D,34.48262405395508,37.111765951439864,39.20228576660156,2.3444133138859,15939
fab_ex_n_2030bc_meqpm2pyr_50m,Ynd_Tang,34.386962890625,36.17736813624972,37.95292663574219,0.7934326020424772,8778
sswc_ex_2030bc_meqpm2pyr_50m,Eks_Opp,-36.35762405395508,-35.905641045468606,-34.1611442565918,0.45604476313777964,77592
sswc_ex_2030bc_meqpm2pyr_50m,Eks_Side,-8.862281799316406,-7.930298891290426,-6.575532913208008,0.42183584859080253,15615
sswc_ex_2030bc_meqpm2pyr_50m,Gud_Opp,-16.10495376586914,-14.410335689045937,-13.10850715637207,0.6632619078616735,37639
sswc_ex_2030bc_meqpm2pyr_50m,Mod_Alm,11.390015602111816,11.835352116241394,11.991511344909668,0.26371120208550525,4938
sswc_ex_2030bc_meqpm2pyr_50m,Mod_Bud,16.20989990234375,16.787580069849046,16.81139373779297,0.117290714623463,7552
sswc_ex_2030bc_meqpm2pyr_50m,Mod_Koll,26.366432189941406,26.746685606060606,26.749202728271484,0.030927655187078223,2739
sswc_ex_2030bc_meqpm2pyr_50m,Mod_Opp,-7.292777061462402,-6.942423795597716,-5.886832237243652,0.31061209042844545,122073
sswc_ex_2030bc_meqpm2pyr_50m,Mod_Skar,18.544458389282227,18.760777250710984,18.763185501098633,0.022834541614384973,2813
sswc_ex_2030bc_meqpm2pyr_50m,Mod_Sol,16.07143783569336,16.07823956492933,16.67293357849121,0.06359822086528617,5660
sswc_ex_2030bc_meqpm2pyr_50m,Mod_Tod,10.91585922241211,11.285438033780693,11.298629760742188,0.06982705015999842,6557
sswc_ex_2030bc_meqpm2pyr_50m,Sam_Fisk,-1.2257003784179688,-0.1882294111329127,0.8364486694335938,0.6248841840182396,48735
sswc_ex_2030bc_meqpm2pyr_50m,Sam_Froe,-40.774269104003906,-40.387827313185674,-39.52134704589844,0.27189909795468375,38648
sswc_ex_2030bc_meqpm2pyr_50m,Sam_Stor,-96.03253936767578,-95.57098384563608,-95.09284973144531,0.21860194101735436,4457
