station_id,station_code,area_km2
1260,Eks_Main,5.902951537137358
1261,Eks_Opp,5.021939225082307
1262,Eks_Side,0.44763213710537053
1263,Gud_Main,19.980565293648787
1264,Gud_Opp,5.999934662600844
1265,Mod_Main,27.33208139474551
1266,Mod_Alm,0.06584673665004608
1267,Mod_Bud,0.26428931599978633
1268,Mod_Koll,0.0037123480000316195
1269,Mod_Opp,26.4923811988546
1270,Mod_Skar,0.03318356690002329
1271,Mod_Sol,0.11702789654036537
1272,Mod_Tod,0.35564033180073273
1273,Sam_Fisk,10.240727233587952
1274,Sam_Froe,2.495577906780625
1275,Sam_Main,13.186753013736963
1276,Sam_Stor,0.05917750449310461
1277,Usk_Main,1.2594285869857276
1278,Ynd_Main,7.528693262700253
1279,Ynd_6A_rest,2.302987255201953
1280,Ynd_6B1-4,1.0120022770920494
1281,Ynd_6B5_6B7,0.5217375333642749
1282,Ynd_6BA-C_6B6_6B8,0.20888693126495023
1283,Ynd_6C_6D,3.0966942746256296
1284,Ynd_Tang,0.38637341803531167
