"BLR";"CLA";"CLAOAAVAROAA";"NIMM";"NUPT";"RHON";"FFOR";"CLRAT";"CLMINN";"CLMAXN";"CLMAXNOAA";"CLMAXS";"CLMAXSOAA";"ANCVARLIMIT";"ANCVARLIMITOAA";"CLA_MAGIC";"ANCVARLIMIT_MAGIC";"ANCVARLIMITOAA_MAGIC";"CLMAXS_MAGIC";"CLMAXSOAA_MAGIC";"CLMAXN_MAGIC";"CLMAXNOAA_MAGIC";"CLAOAAVAROAA_MAGIC";"BC0";"BC_MAGIC";"Q2";"ENO3FL";"CA";"CL";"MG";"NA";"SO4";"NO3N";"ILAL";"K";"KX";"TOC"
60506013;48,50123325151749348939434481938009204664;46,68905476521056471163562244130471439488;3,3915;0;0,077914484801377278764936985881272038112;0,95;0,05;3,20412430939226519337016574585635359117;61,32511422463828745448309200902633844612;59,1535074330939629569655705184966615195;48,91105951369550915508563016425896647135;47,08356846138451188807744432909819082291;12,12530831287937337234858620484502301166;9,33781095304211294232712448826094287898;63,17087952110223741802643790185619443782;15,79271988027555935450660947546404860946;12,54441404027770552930737213340058095309;63,70466152409534843416377266496959322258;63,25205985038158500830417636366789024163;78,9043448077716547838671663347957815309;78,36651844344652073393372114215774533392;62,72207020138852764653686066700290476546;28,5183588;37,144;2958,646;20,499;0,54;1,6;0,14;0,86;1,6;97;;0,11;2,001;1
60508003;46,33705870768939651041056050219153456783;47,24046704226964340852523674105109444223;3,3915;0;0,2248423854877730710771749003948232289165;0,95;0,05;3,20412430939226519337016574585635359117;69,25671656183293837404408891801609243905;70,54450788967531628519223746298181184544;47,68111243576633778222049449905283747678;48,61072505205829519148261055734583897002;11,58426467692234912760264012554788364196;9,44809340845392868170504734821021888845;64,5279839733107906595994561785643031825;16,13199599332769766489986404464107579563;13,22001157988293877913096288057264807084;66,39968407347759821797695957744827628761;68,01735760991762042617654033084892415245;95,18753312152360910870109410762876710894;97,4284944800485737026210758925083738525;66,10005789941469389565481440286324035422;65,3464138;91;861,89;8,988;0,8;0,3;0,377;;2;146;;;;0,32
60509002;49,92659166364572465349900092079568728179;48,39621815135032766432318647219985433841;3,3915;12,1;0,3804839146620237482840175448742728952391;0,95;0,05;14,63561602209944751381215469613259668508;103,684965839412007583044545152757963345;100,95538303180421136033925651777885262;52,99289865574793887441463216504071423629;51,36853525059357602600157053983885506671;12,48164791591143116337475023019892182041;9,67924363027006553286463729443997086771;25,26294133092870572613294401843588171519;6,3157353327321764315332360046089704288;4,65367623724398739573350239631237541746;26,81449794761040131534461311832065745447;24,69743928028883729377417442165406770188;59,69474032900073106988909946661175592043;56,13723163194358025384987445578318589277;23,26838118621993697866751198156187708732;135,1339276;68,378;407,058;0,029;2,02;0,3;0,29;0,52;2,3;1;;0,2;4,963;1,93
60511002;25,6013530194877676417844378547912060826;11,1568343947372143005622196089976724767;3,3915;4,1;0,4009475191773198422512080548752812646847;0,95;0,05;7,07760497237569060773480662983425414365;54,300158542287052115108188385488127848;27,65675988950315313318686036303623077665;27,31485881561596909402328511819876104458;11,90356447526352822905940851095268411432;6,40033825487194191044610946369780152065;2,23136687894744286011244392179953449534;28,50152967298902966784443571006714724034;7,12538241824725741696110892751678681008;2,82148202771254538223805871864696587323;30,40914511253284823242040798687922757009;15,0516230878699132766343421252686552193;59,64963156732288984928636295932370225174;33,09919572556308349793456233543987613019;14,10741013856272691119029359323482936613;74,9405701;83,43;373,523;0,08;1,48;1,1;0,15;0,49;1,5;3;;0,03;0,209;12,6
60511006;40,36511209708567578320277984893029303888;34,76480357422027584741325208093338337725;3,3915;41,4;0,5178685359649340856927423831895730277495;0,95;0,05;42,31683149171270718232044198895027624309;134,827561730406432095859233268919502457;121,992501845866587906124408261753275369;44,70082197397889030955776247487447870738;38,49897138384917446817618582052871646037;10,09127802427141894580069496223257325974;6,95296071484405516948265041618667667543;30,88754789087373025750647097346688250751;7,72188697271843256437661774336672062688;5,03637019019452111968701722307284814786;34,20525071655576944339705552988271449183;27,88669169621774257044291068478741953555;113,106418395242123885538471312293041272;100,029824202678425766313073822758042765;25,18185095097260559843508611536424073925;183,5196731;140,43;232,748;1,081;2,64;0,8;0,48;0,93;3;65;;0,3;7,266;8
60511015;20,68780830743952641762092026395298975549;10,78916185323550238184436778709882581621;3,3915;12,1;0,4045968677728884494067800724713909554798;0,95;0,05;14,63561602209944751381215469613259668508;53,02885827428127736632001408558666065831;34,65856376858975388149408773231368455845;22,09361590051802937751078951230328356952;11,52232243896932486993514594816333168713;5,17195207685988160440523006598824743887;2,15783237064710047636887355741976516324;14,51651168032960469095095834404595893815;3,62912792008240117273773958601148973454;0,9024249772583276995338399623390827584498;15,50295848232754466163251485439567169479;4,81873926186018030518085381263693672329;41,5759250832143695002945010470089353641;23,0093935270464713511444638907299923786;4,51212488629163849766919981169541379225;61,4042558;43,087;367,899;0,71;0,7;1;0,25;0,84;3,8;27;;0,16;3,584;8,8
61005001;22,73336493836600812483424748792859482893;17,93121126360310247215312637732406475753;3,3915;0;0,0787904841265539059279438961327109095195;0,95;0,05;3,20412430939226519337016574585635359116;30,47234053007528465970398565738459409074;24,71225331538447220833753597619653206592;22,92780201250122057405403344112904111125;18,08457581228508695979236074543744443374;5,68334123459150203120856187198214870723;3,5862422527206204944306252754648129515;41,75691174252907566288004631536860180858;10,43922793563226891572001157884215045215;7,7418634598229048392446672788948389569;42,11405604413826893998704602589754804727;39,04039571261895157524221971250182381055;53,29070415317238500988955074105863447021;49,63517561785502539935046361850882325441;38,70931729911452419622333639447419478447;13,4608242;24,725;2922,972;8,56;0,25;2,4;0,2;1,22;1,2;41;;0,08;0,827;1,1
61005003;73,22030587530812696727217566081383442678;67,38224922006085349641320086778532864002;3,3915;0;0,0778472798292092958371011416770670632518;0,95;0,05;3,20412430939226519337016574585635359116;90,94058440121698235559962948288725942;83,94511478901415560396965836949841127957;73,83842492608745117372672456293374796161;67,95108393646054922893113486344640199682;18,3050764688270317418180439152034586067;13,47644984401217069928264017355706572801;34,84060863479498998479619663585684291817;8,71015215869874749619904915896421072954;5,08670364668797610877261029947436486173;35,13472983082752129739122040688273764993;25,64822564227268114114373623988496518709;44,95199237029867747043804900123291738761;33,67991693013026134438662864364998131845;25,43351823343988054386305149737182430863;43,0298385;20,475;2961,416;0,635;0,62;3,4;0,34;2;1,4;3;;0,23;4,156;2
61005004;47,18496292952167141021085247632932705879;40,79084738398683037557923277823822096147;3,3915;0;0,1100245574812298104937021943297744056473;0,95;0,05;3,20412430939226519337016574585635359116;61,78785380820615132273223668128038024046;53,84907178429556779756936037494619879933;47,76829415621216096389703464835226876467;41,29513039206689622370133661434702985666;11,7962407323804178525527131190823317647;8,15816947679736607511584655564764419229;40,74110679450435221562812384801618007978;10,18527669862608805390703096200404501994;6,77661495082751608465698881550278971607;41,24477487703870001428044807396607895428;34,30195938036689252116851935712637883747;53,78731504955561348304018354421565615999;45,27254532202287447748143300954502889652;33,88307475413758042328494407751394858037;35,1294898;30,332;2022,22;0,433;0,62;3,4;0,345;;1,4;3;;;;2
61005010;52,78383738720284462691764878388533514178;39,76459070654102527214309691651081379177;3,3915;0;0,0814365405757563418705973370251231727676;0,95;0,05;3,20412430939226519337016574585635359116;66,69966356409134457208319970706353778499;51,0383526477502475232441348847351084002;53,25179995103282684799941347898605179715;40,11712930050832014578238143192825972281;13,19595934680071115672941219597133378544;7,95291814130820505442861938330216275836;33,86392895764218552392822449091808867465;8,46598223941054638098205612272952216866;3,82780711008807685544845665691587141738;34,16415440165692186440367308784985062044;19,30871537268818235585607186815646030149;43,94023856109342423058863034280188743921;26,22714505294846968329300455287335826804;19,13903555044038427724228328457935708692;31,9144619;20,475;2819,875;7,251;0,43;2,9;0,28;1,73;1,4;36;;0,18;3,131;2,9
61006001;35,58373886833559422736550244243853524831;26,23625930737323319468562859779469220238;3,3915;0;0,1003655715578422847379294341710245397837;0,95;0,05;3,20412430939226519337016574585635359116;46,90970874482278407530956744727748817159;35,42870449392770335353740018553033988095;35,98072037290849676344446805217329440301;26,52895788333636702871220045480571874137;8,89593471708389855684137561060963381208;5,24725186147464663893712571955893844047;30,26927940131654214924977094627788903321;7,5673198503291355373124427365694722583;4,10212467825105573980229513096034826639;30,60697140505831376081695987786365222675;20,73944527429900230551641827652773262528;40,38224523617045112146039807970775797639;28,39621516209117653487392472051011521032;20,51062339125527869901147565480174133194;24,7751949;21,075;2240,894;8,323;0,45;1,7;0,179;;1,1;52;;;;2,3
61006002;17,7836733534205750221480268174478721014;18,16525875295200270733633267716335380434;3,3915;0;0,0800783101810922937759293568366376847246;0,95;0,05;3,20412430939226519337016574585635359116;24,56514667826717025775002778050539237023;25,02349148099933985852985198155269183881;17,93847854246169642825960164983882290077;18,32338560668724269379965101377753703532;4,44591833835514375553700670436196802535;3,63305175059040054146726653543267076087;21,22547737175972330391516578132767088906;5,30636934293993082597879144533191772226;4,38419671786283032501247468223859316072;21,410243138186225033265695995194372946;22,11180367136758086693706154413700097461;28,69930114477871889217731261877866459502;29,53471481751209286608757429904233979387;21,92098358931415162506237341119296580363;10,6381259;12,697;2871,944;7,385;0,2;0,9;0,084;;1;36;;;;0,2
61006005;18,63886321922491986269169716602341321226;8,64908471656323259022473379220845452182;3,3915;0;0,0953175446810522446900502209079415528067;0,95;0,05;3,20412430939226519337016574585635359117;25,9694922574843783107994100476761877199;13,76805160854703973559502442276025612789;18,83524269660476411354987405873576687968;8,74021166548041642727361012324741224921;4,65971580480622996567292429150585330306;1,72981694331264651804494675844169090437;15,19865733368566340886880077428927763757;3,79966433342141585221720019357231940939;0,9864172285960906096615511150969263830408;15,35879072535012801256337076944996965234;4,98405071226555078306621679760720875563;21,76765055285117065835856433800684838147;9,22813738765903911148327933338165781156;4,93208614298045304830775557548463191521;12,5148949;10,205;2372,812;4,915;0,23;1,7;0,154;;1,1;29;;;;2,1
61006015;35,27946030657494382369450262398296817979;35,58945056662116313783726031861693868861;3,3915;50;0,1424509541364908062154200308833668567912;0,95;0,05;50,44169337016574585635359116022099447514;95,90011846675581197205922233147406924702;96,2995483019780165535308257488244107781;35,86550174715885042479641198258307462866;36,18064138128805732214807401702385399517;8,81986507664373595592362565599574204494;7,11789011332423262756745206372338773772;42,07637087805790746213889580180890428501;10,51909271951447686553472395045222607126;8,55589865472506491170624397577859458662;42,77531856007004554050052770304759863323;43,49012080725719793573856377949850806841;104,658099666496451100282005319553422947;105,564089624247578265861501530329640096;42,77949327362532455853121987889297293308;32,2615227;38,477;1504,99;6,557;0,36;1;0,15;0,65;1,3;61;;0,26;6,142;0,44
61007011;30,11546100082166813570969717794343935342;29,37467100254971741324108948511488262579;3,3915;0;0,1968077778433803703922379012418570781917;0,95;0,05;3,20412430939226519337016574585635359116;44,63474523565780538920203436941654629152;43,61562121814611220174479006724766684475;30,85338609456653270986151157058129285746;30,09444437253696882617488403768930821266;7,52886525020541703392742429448585983836;5,87493420050994348264821789702297652516;17,96561144558814009192723506182430245355;4,49140286139703502298180876545607561339;3,34201062243834376336629140695400127071;18,40582637405321421635268984268790056322;17,11950284663076022274729974959615632176;27,91988202236340479136108604470749563558;26,19257785257694240440871180445470280205;16,71005311219171881683145703477000635353;37,045869;22,1;1020,275;0,364;0,49;0,9;0,249;;1,7;5;;;;0,7
61007014;136,688209386258265925853078943626692377;140,86791610780676552076218975679843064;3,3915;0;0,2045205588156132630764309689938652013178;0,95;0,05;3,20412430939226519337016574585635359116;193,072884750958148403853327634972402324;198,878767626979477618479646706031501777;140,20251126759415176381649720022902555;144,489679717267731693158378808014438487;34,17205234656456648146326973590667309418;28,17358322156135310415243795135968612801;108,758973511027234291246570298153536814;27,18974337775680857281164257453838420343;22,36037593260699979957708588431629582288;111,555204926583314076926279233790077209;114,676345264719824002896002274473571718;154,277370349821029997838297960794409683;158,504163734677623257448793315472270893;111,801879663034998997885429421581479114;174,7441276;139,039;972,371;3,889;3,04;0,5;0,445;;5,6;56;;;;0,5
61007016;53,04478532196230950441068938411179356814;53,94797573445272294444760811717754437711;3,3915;0;0,2352912387895489278719413315413552587121;0,95;0,05;3,20412430939226519337016574585635359117;79,8516343528615084645138356879611121217;81,15670695881777546654721294068361011963;54,67690644870004507000812257546109485834;55,60788689078045932972537007659165665522;13,26119633049057737610267234602794839204;10,78959514689054458888952162343550887542;49,85785783934505735361130453050204747499;12,46446445983626433840282613262551186875;10,129935119456937128570723196662097788;51,39192122784915074515123387718640967827;52,20810221929826221463934790339393649528;75,24665660153148206520508066005046354455;76,39080035074083023282976263441432540662;50,64967559728468564285361598331048893998;78,5460414;73,827;812,513;0,522;1,34;0,5;0,236;;1,6;9;;;;0,4
61008004;86,39666998962452945935333088370963443309;83,30482420191315894513450602085860961045;3,3915;0;0,1889804730256832022060824499126154292729;0,95;0,05;3,20412430939226519337016574585635359117;120,915141757207730793529002987268267714;116,702660957809393367820752176591910641;88,40985006968937615023237256568644921789;85,2459593484035931504088334907543165624;21,59916749740613236483833272092740860827;16,66096484038263178902690120417172192209;76,98400437778243872129642917407204732294;19,24600109444560968032410729351801183074;14,69528564333806254948222328486874778524;78,77785435042129847928832649173409702718;75,18854607560686118367406084222202023156;108,090869175879598122889947348831540735;103,311977133542317248663602876382930364;73,47642821669031274741111642434373892619;102,1263707;91;1072,888;0,383;1,62;0,4;0,362;;1,3;5;;;;2,3
61008012;34,68168992464933337701631647967103171827;33,58174413682904036614373882171952131042;3,3915;0;0,3257770434039270467920082981928495848297;0,95;0,05;3,20412430939226519337016574585635359116;60,04334779487154700657767591126142788495;58,24066561324595397551000207804811629271;36,35747065762027504340996450167308777003;35,20437671114489516431302012761092370387;8,67042248116233334425407911991775792957;6,71634882736580807322874776434390426208;14,00019335387023851794263774971244495723;3,50004833846755962948565943742811123931;2,48307873569343219156283145164856754889;14,67666714540854952720549626377674217625;13,01529171007482515302508647195162355575;26,14879974503132443157041203354189740045;23,55149888899867724853419822688474680359;12,41539367846716095781415725824283774447;75,7016518;30,559;517,396;1,663;1,03;0,2;0,19;0,33;1,6;45;;0,19;4,758;1,2
61009003;111,894666364463908278792927346476030161;110,84136564574566209461600885701575986;3,3915;0;0,2844192840825316501779327041220318003513;0,95;0,05;3,20412430939226519337016574585635359116;175,987588941088302774992673356156108592;174,361122252440197778878683330569029687;116,342103277186008852050471550560554972;115,246937395016933784142928812730681061;27,97366659111597706969823183661900754032;22,16827312914913241892320177140315197201;113,893647691156417909415975514281319616;28,47341192278910447735399387857032990393;22,57923772673718738585862031229792090367;118,420537393086690297482125667317061368;117,383432690517507244646636053682156495;179,074339459070874906162958060374295182;177,53410132817860782632977511979571745;112,896188633685936929293101561489604518;205,8711431;209,549;628,984;0,09;3,11;0,2;0,78;;3,2;2;;;;2,2
